field_name,times_present,distinct_values,sample_min_value,sample_max_value,first_seen
balancing_active,99102,2,false,true,2026-03-23 15:53:49
balancing_duration_s,2033,1551,0,9991,2026-05-06 20:02:00
battery_variant,99102,3,64 kWh LG N2.2 (96s3p),Unknown,2026-03-23 15:53:49
bms_12v,99102,1,0,0,2026-03-23 15:53:49
bms_ignition,99102,1,2,2,2026-03-23 15:53:49
bms_status,99102,1,standby,standby,2026-03-23 15:53:49
bolt_5v_ref_1_mV,4031,2,3001,3020,2026-05-09 11:10:31
bolt_5v_ref_2_mV,4031,2,3001,3020,2026-05-09 11:10:31
bolt_5v_ref_main_mV,4031,1,4809,4809,2026-05-09 11:10:31
bolt_balance_status,4031,1,0,0,2026-05-09 11:10:31
bolt_cell_avg_mV,4031,168,3378,3573,2026-05-09 11:10:31
bolt_current_internal_raw,4031,8,-11812,-11823,2026-05-09 11:10:31
bolt_gmlan_status,4031,1,9,9,2026-05-09 11:10:31
cell_count,99102,1,96,96,2026-03-23 15:53:49
cell_data_fresh,99102,2,false,true,2026-03-23 15:53:49
cell_max_no,99102,20,1,96,2026-03-23 15:53:49
cell_min_no,99102,29,1,8,2026-03-23 15:53:49
cell_voltage_delta,99102,117,0,0.15,2026-03-23 15:53:49
cell_voltage_max,99102,599,3.401,4.149,2026-03-23 15:53:49
cell_voltage_min,99102,658,3.265,4.111,2026-03-23 15:53:49
cell_voltages,99102,95381,"[3.355, 3.35625, 3.36625, 3.3625, 3.36875, 3.3625, 3.37125, 3.36375, 3.4025, 3.40125, 3.40375, 3.40125, 3.40375, 3.40375, 3.4025, 3.40375, 3.37875, 3.37625, 3.38125, 3.37625, 3.3825, 3.37625, 3.38375, 3.3775, 3.39625, 3.3925, 3.395, 3.39625, 3.39625, 3.39375, 3.395, 3.39625, 3.3975, 3.34625, 3.34625, 3.35625, 3.34625, 3.34875, 3.34625, 3.35125, 3.33625, 3.39125, 3.39125, 3.39125, 3.3925, 3.3925, 3.39375, 3.385, 3.265, 3.33625, 3.3325, 3.33875, 3.335, 3.34125, 3.33375, 3.3425, 3.39375, 3.395, 3.3725, 3.37, 3.36625, 3.36, 3.37, 3.395, 3.30625, 3.32125, 3.3125, 3.3225, 3.31875, 3.3225, 3.3075, 3.32375, 3.39375, 3.3925, 3.395, 3.39375, 3.39625, 3.39, 3.3975, 3.39, 3.355, 3.3575, 3.35375, 3.3525, 3.3475, 3.35375, 3.35375, 3.35375, 3.39625, 3.3975, 3.39625, 3.3975, 3.3975, 3.3975, 3.39875, 3.4]","[4.12375, 4.1225, 4.12125, 4.12125, 4.125, 4.12, 4.125, 4.12625, 4.1425, 4.14375, 4.145, 4.1475, 4.14375, 4.145, 4.1425, 4.14375, 4.12875, 4.12875, 4.12875, 4.1275, 4.12875, 4.12875, 4.13, 4.12875, 4.13625, 4.135, 4.13625, 4.13625, 4.135, 4.135, 4.13625, 4.13625, 4.1375, 4.115, 4.11625, 4.1175, 4.1175, 4.1175, 4.1175, 4.11625, 4.115, 4.13375, 4.135, 4.1325, 4.135, 4.135, 4.135, 4.135, 4.11, 4.11625, 4.11625, 4.1175, 4.115, 4.11625, 4.115, 4.1175, 4.13375, 4.13375, 4.11625, 4.11625, 4.115, 4.115, 4.11875, 4.135, 4.11, 4.11, 4.11, 4.11125, 4.1125, 4.11125, 4.11, 4.11125, 4.13375, 4.13125, 4.13375, 4.13375, 4.13375, 4.135, 4.13375, 4.135, 4.11875, 4.1175, 4.1175, 4.12, 4.1175, 4.11875, 4.11875, 4.11875, 4.1375, 4.1375, 4.1375, 4.13875, 4.13875, 4.13875, 4.13875, 4.14]",2026-03-23 15:53:49
cells_missing,2,1,96,96,2026-04-23 17:27:35
cells_per_module,99102,1,6,6,2026-03-23 15:53:49
cells_received,99102,2,0,96,2026-03-23 15:53:49
charge_enabled,99102,2,false,true,2026-03-23 15:53:49
discharge_enabled,99102,1,true,true,2026-03-23 15:53:49
discharge_throttle,981,3,0.3,1,2026-05-10 12:45:33
eff_charge_current,99102,7,0,45,2026-03-23 15:53:49
eff_discharge_current,99102,3,0,60,2026-03-23 15:53:49
fan_speed,99102,1,0,0,2026-03-23 15:53:49
fan_status,99102,1,0,0,2026-03-23 15:53:49
heater_temp,99102,1,0,0,2026-03-23 15:53:49
heater_temp1,99102,1,0,0,2026-03-23 15:53:49
heater_temp2,99102,1,0,0,2026-03-23 15:53:49
inverter_voltage,99102,41,0,4,2026-03-23 15:53:49
isolation_resistance,99102,1,0,0,2026-03-23 15:53:49
max_charge_current,99102,7,0,45,2026-03-23 15:53:49
max_discharge_current,99102,3,0,60,2026-03-23 15:53:49
max_voltage,99102,1,403.2,403.2,2026-03-23 15:53:49
min_voltage,99102,1,288,288,2026-03-23 15:53:49
modification_key,46644,2,"",64.0_kwh,2026-04-24 09:48:25
modification_set,46644,2,false,true,2026-04-24 09:48:25
module_count,99102,1,16,16,2026-03-23 15:53:49
module_temps,99102,1769,"[10, 10.5, 10.5, 11, 10.5, 11]","[24.5, 24.5, 26, 31.5, 27.5, 28]",2026-03-23 15:53:49
module_voltages,99102,49269,"[20.17, 20.34, 20.35, 20.27, 20.36, 20.23, 20.12, 20.33, 19.95, 20.2, 20.11, 19.91, 20.35, 20.2, 20.2, 20.37]","[24.75, 24.84, 24.85, 24.78, 24.83, 24.77, 24.73, 24.82, 24.71, 24.75, 24.72, 24.68, 24.82, 24.76, 24.76, 24.84]",2026-03-23 15:53:49
nominal_capacity_kwh,99102,2,0,64,2026-03-23 15:53:49
nominal_voltage,99102,1,351.4,351.4,2026-03-23 15:53:49
pack_current,99102,570,-0.1,9.9,2026-03-23 15:53:49
pack_voltage,99102,738,0,396.4,2026-03-23 15:53:49
remaining_ah,46644,1814,0,99.9,2026-04-24 09:48:25
safety,104302,3886,"{""STALE"": 0, ""TREND"": 0, ""dT_dt"": -1, ""ready"": false, ""REBOOT"": 0, ""hv_off"": false, ""RAIL12V"": 0, ""THERMAL"": 0, ""DATA_CHK"": 0, ""OVERCURR"": 0, ""OVERVOLT"": 0, ""CELL_LOSS"": 0, ""IMBALANCE"": 0, ""ISOLATION"": 0, ""UNDERVOLT"": 0, ""charge_mult"": 1, ""outputs_off"": false, ""reboot_count"": 0, ""module_spread"": 0.5, ""discharge_mult"": 1}","{""STALE"": 2, ""TREND"": 0, ""dT_dt"": 0, ""ready"": false, ""worst"": {""STALE"": 2}, ""REBOOT"": 0, ""hv_off"": true, ""RAIL12V"": 0, ""THERMAL"": 0, ""DATA_CHK"": 0, ""OVERCURR"": 0, ""OVERVOLT"": 0, ""CELL_LOSS"": 0, ""IMBALANCE"": 0, ""ISOLATION"": 0, ""UNDERVOLT"": 0, ""charge_mult"": 0, ""outputs_off"": false, ""reboot_count"": 0, ""stale_age_ms"": 990169, ""module_spread"": 0, ""discharge_mult"": 0}",2026-03-23 12:57:36
soc,99102,999,0,99.9,2026-03-23 15:53:49
soc_display,99102,999,0,99.9,2026-03-23 15:53:49
soc_method,46644,4,coulomb_voltage,voltage_only,2026-04-24 09:48:25
soc_recalib,46644,2,false,true,2026-04-24 09:48:25
