soc_bin_pct_5pct,samples,pct_of_total,avg_delta_mv_in_bin,max_delta_mv_in_bin
0,2088,2.11,127.7,150
5,130,0.13,34.1,148
10,600,0.61,43.6,150
15,6867,6.93,30.9,93
20,30655,30.93,19.3,44
25,32513,32.81,17.0,42
30,10207,10.30,17.9,34
35,1275,1.29,15.6,25
40,1119,1.13,15.0,22
45,1045,1.05,17.1,28
50,1080,1.09,20.6,35
55,563,0.57,28.5,43
60,456,0.46,35.0,45
65,575,0.58,39.9,51
70,611,0.62,35.3,45
75,5019,5.06,32.6,40
80,692,0.70,33.8,43
85,796,0.80,35.6,47
90,823,0.83,37.7,48
95,1927,1.94,38.7,49
100,59,0.06,47.6,50
