timestamp_utc,pack_voltage_v,pack_current_a,cell_min_mv,cell_min_position_1_indexed,cell_max_mv,cell_max_position_1_indexed,pid_431c_raw,temp_max_c
2026-05-09 11:00:16,324.30,0.00,3270,49,3418,9,,24.0
2026-05-09 11:00:46,324.30,-0.10,3270,49,3419,14,,24.0
2026-05-09 11:01:16,324.30,-0.10,3270,49,3419,14,,24.0
2026-05-09 11:01:46,324.30,-0.10,3270,49,3419,14,,24.0
2026-05-09 11:02:16,324.30,-0.10,3271,49,3419,11,,24.0
2026-05-09 11:02:46,324.30,-0.10,3270,49,3420,11,,24.0
2026-05-09 11:03:16,324.30,0.00,3270,49,3419,11,,24.0
2026-05-09 11:03:46,324.30,0.00,3269,49,3419,14,,24.0
2026-05-09 11:04:16,324.30,-0.10,3271,49,3419,13,,24.0
2026-05-09 11:04:46,324.30,-0.10,3270,49,3418,11,,24.0
2026-05-09 11:05:16,324.30,-0.10,3271,49,3419,11,,24.0
2026-05-09 11:05:46,324.30,0.00,3270,49,3419,14,,24.0
2026-05-09 11:06:16,324.30,-0.10,3270,49,3419,14,,24.0
2026-05-09 11:06:46,324.30,-0.10,3270,49,3419,11,,24.0
2026-05-09 11:07:16,324.30,0.00,3270,49,3418,11,,24.0
2026-05-09 11:07:46,324.30,0.00,3270,49,3419,11,,24.0
2026-05-09 11:08:16,324.30,0.00,3270,49,3419,13,,24.0
2026-05-09 11:08:46,324.30,0.00,3270,49,3419,11,,24.0
2026-05-09 11:09:16,324.30,0.00,3270,49,3419,11,,24.0
2026-05-09 11:10:31,324.30,-0.20,3270,49,3420,11,0,24.0
2026-05-09 11:11:01,324.30,-0.20,3270,49,3419,13,0,24.0
2026-05-09 11:11:02,324.30,-0.20,3270,49,3419,13,0,24.0
2026-05-09 11:11:03,324.30,-0.20,3270,49,3419,11,0,24.0
2026-05-09 11:11:04,324.30,-0.30,3270,49,3419,11,0,24.0
2026-05-09 11:11:07,324.30,-0.30,3270,49,3419,14,0,24.0
2026-05-09 11:11:31,324.30,-0.30,3270,49,3419,13,0,24.0
2026-05-09 11:12:01,325.30,9.70,3281,49,3429,11,0,24.0
