hour_utc,samples,soc_avg_pct,pack_current_avg_a,cell_min_avg_mv,cell_max_avg_mv,delta_avg_mv,delta_max_mv,temp_max_avg_c
2026-03-23 15:00:00,13,31.0,-5911.32,3560,3580,20.0,20,10.5
2026-03-23 16:00:00,120,31.0,-5793.08,3560,3580,20.0,20,10.5
2026-03-23 17:00:00,115,31.0,-5911.21,3560,3580,20.0,20,10.5
2026-03-23 18:00:00,118,31.0,-5400.23,3560,3580,20.0,20,10.5
2026-03-23 19:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-23 20:00:00,111,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-23 21:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-23 22:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-23 23:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 00:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 01:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 02:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 03:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 04:00:00,120,31.0,0.00,3560,3580,20.0,20,10.4
2026-03-24 05:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 06:00:00,120,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 07:00:00,119,31.0,0.00,3560,3580,19.8,20,10.5
2026-03-24 08:00:00,119,31.0,0.00,3560,3580,20.0,20,10.5
2026-03-24 09:00:00,120,30.9,0.00,3560,3580,20.0,20,10.9
2026-03-24 10:00:00,120,30.6,0.00,3560,3578,18.2,20,11.0
2026-03-24 11:00:00,119,29.9,0.00,3560,3577,16.6,20,11.0
2026-03-24 12:00:00,120,29.7,0.00,3560,3574,14.0,20,11.0
2026-03-24 13:00:00,120,29.3,0.00,3560,3572,11.8,20,11.0
2026-03-24 14:00:00,120,29.1,0.00,3560,3570,9.7,20,11.0
2026-03-24 15:00:00,120,28.7,0.00,3560,3568,7.8,20,11.0
2026-03-24 16:00:00,120,28.2,0.00,3560,3566,6.3,20,11.0
2026-03-24 17:00:00,120,27.6,0.00,3560,3564,4.5,20,11.0
2026-03-24 18:00:00,120,27.7,0.00,3559,3564,4.7,20,11.0
2026-03-24 19:00:00,120,27.6,0.00,3559,3563,3.8,20,11.0
2026-03-24 20:00:00,119,27.3,0.00,3560,3562,1.8,20,11.0
2026-03-24 21:00:00,120,27.2,0.00,3559,3562,2.8,40,11.0
2026-03-24 22:00:00,120,27.2,0.00,3558,3561,3.0,20,11.0
2026-03-24 23:00:00,120,27.2,0.00,3557,3561,3.7,20,11.0
2026-03-25 00:00:00,120,27.0,0.00,3556,3560,4.5,20,11.0
2026-03-25 01:00:00,120,27.1,0.00,3553,3560,7.0,20,11.0
2026-03-25 02:00:00,120,27.0,0.00,3552,3560,8.0,20,11.0
2026-03-25 03:00:00,120,27.0,0.00,3551,3560,9.3,20,11.0
2026-03-25 04:00:00,120,27.0,0.00,3546,3560,14.2,20,11.0
2026-03-25 05:00:00,120,27.0,0.00,3544,3560,16.0,20,11.0
2026-03-25 06:00:00,120,27.0,0.00,3542,3560,17.7,20,11.0
2026-03-25 07:00:00,120,27.0,0.00,3541,3560,19.2,20,11.0
2026-03-25 08:00:00,119,27.0,0.00,3541,3560,19.5,20,11.0
2026-03-25 09:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 10:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 11:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 12:00:00,105,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 13:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 14:00:00,119,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 15:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 16:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 17:00:00,120,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 18:00:00,118,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-25 19:00:00,70,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-27 06:00:00,52,27.0,0.00,3540,3560,20.0,20,11.0
2026-03-27 07:00:00,120,29.5,0.00,3540,3560,20.0,20,11.7
2026-03-27 08:00:00,119,29.5,0.00,3540,3560,20.0,20,12.0
2026-03-27 09:00:00,120,29.5,0.00,3540,3560,20.0,20,12.3
2026-03-27 10:00:00,120,29.5,0.00,3540,3560,20.0,20,12.5
2026-03-27 11:00:00,119,29.4,0.00,3540,3560,20.0,20,12.6
2026-03-27 12:00:00,123,29.4,0.00,3540,3560,19.9,20,13.0
2026-03-27 13:00:00,120,29.4,0.00,3540,3560,20.0,20,13.0
2026-03-27 14:00:00,120,29.4,0.00,3540,3560,20.0,20,13.0
2026-03-27 15:00:00,123,29.4,0.00,3540,3560,20.0,20,13.0
2026-03-27 16:00:00,119,29.5,0.00,3550,3569,18.8,20,13.0
2026-03-27 17:00:00,120,29.4,0.00,3554,3572,18.1,20,13.1
2026-03-27 18:00:00,120,29.4,0.00,3554,3572,18.0,20,13.4
2026-03-27 19:00:00,122,29.3,0.00,3554,3572,17.7,20,13.5
2026-03-27 20:00:00,119,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-27 21:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-27 22:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-27 23:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 00:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 01:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 02:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 03:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 04:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 05:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 06:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 07:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 08:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 09:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 10:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 11:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 12:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 13:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 14:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 15:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 16:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 17:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 18:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 19:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 20:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 21:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 22:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-28 23:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-29 00:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-29 01:00:00,120,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-29 02:00:00,103,29.2,0.00,3554,3571,17.0,17,13.5
2026-03-30 16:00:00,61,27.8,0.00,3547,3564,17.4,20,13.5
2026-03-30 17:00:00,121,27.8,0.00,3546,3564,17.6,19,13.5
2026-03-30 18:00:00,120,27.7,0.00,3546,3564,17.4,19,13.5
2026-03-30 19:00:00,120,27.7,0.00,3546,3564,17.6,19,13.5
2026-03-30 20:00:00,121,27.7,0.00,3546,3564,17.6,19,13.5
2026-03-30 21:00:00,120,27.7,0.00,3546,3564,17.6,19,13.5
2026-03-30 22:00:00,120,27.7,0.00,3546,3563,17.4,19,13.5
2026-03-30 23:00:00,120,27.6,0.00,3546,3563,17.3,19,13.5
2026-03-31 00:00:00,120,27.6,0.00,3546,3563,17.4,19,13.5
2026-03-31 01:00:00,120,27.6,0.00,3546,3563,17.4,19,13.5
2026-03-31 02:00:00,120,27.6,0.00,3546,3563,17.4,19,13.5
2026-03-31 03:00:00,120,27.5,0.00,3546,3563,17.1,19,13.5
2026-03-31 04:00:00,120,27.5,0.00,3545,3563,17.1,19,13.5
2026-03-31 05:00:00,120,27.5,0.00,3545,3562,17.0,19,13.5
2026-03-31 06:00:00,120,27.4,0.00,3545,3562,17.0,19,13.5
2026-03-31 07:00:00,120,27.4,0.00,3545,3562,16.9,19,13.5
2026-03-31 08:00:00,122,27.4,0.00,3545,3562,16.8,19,13.5
2026-03-31 09:00:00,124,27.3,0.00,3545,3562,16.6,20,13.5
2026-03-31 10:00:00,120,27.3,0.00,3545,3562,16.7,19,13.5
2026-03-31 11:00:00,120,27.3,0.00,3545,3562,16.6,19,13.5
2026-03-31 12:00:00,120,27.3,0.00,3545,3561,16.5,19,13.5
2026-03-31 13:00:00,120,27.2,0.00,3545,3561,16.4,19,13.5
2026-03-31 14:00:00,120,27.2,0.00,3545,3561,16.3,19,13.5
2026-03-31 15:00:00,120,27.2,0.00,3545,3561,16.5,19,13.5
2026-03-31 16:00:00,120,27.2,0.00,3545,3561,16.3,19,13.5
2026-03-31 17:00:00,118,27.1,0.00,3544,3561,16.4,19,13.5
2026-03-31 18:00:00,120,27.1,0.00,3544,3561,16.5,19,13.5
2026-03-31 19:00:00,124,27.1,0.00,3544,3561,16.3,19,13.5
2026-03-31 20:00:00,120,27.1,0.00,3544,3560,16.4,19,13.5
2026-03-31 21:00:00,120,27.1,0.00,3544,3560,16.3,18,13.5
2026-03-31 22:00:00,120,27.1,0.00,3544,3560,16.4,18,13.5
2026-03-31 23:00:00,119,27.0,0.00,3544,3560,16.3,19,13.5
2026-04-01 00:00:00,120,27.0,0.00,3544,3560,16.3,20,13.5
2026-04-01 01:00:00,120,27.0,0.00,3544,3560,16.2,18,13.5
2026-04-01 02:00:00,120,27.0,0.00,3544,3560,16.1,18,13.5
2026-04-01 03:00:00,120,27.0,0.00,3544,3560,16.3,18,13.5
2026-04-01 04:00:00,120,26.9,0.00,3543,3560,16.1,18,13.5
2026-04-01 05:00:00,120,26.9,0.00,3543,3560,16.3,18,13.5
2026-04-01 06:00:00,120,26.9,0.00,3543,3559,16.2,19,13.5
2026-04-01 07:00:00,120,26.9,0.00,3543,3559,16.2,19,13.5
2026-04-01 08:00:00,120,26.9,0.00,3543,3559,16.3,18,13.5
2026-04-01 09:00:00,53,26.8,0.00,3543,3559,16.2,19,13.5
2026-04-01 10:00:00,120,26.8,0.00,3543,3559,16.2,19,13.5
2026-04-01 11:00:00,120,26.8,0.00,3543,3559,16.2,19,13.5
2026-04-01 12:00:00,120,26.8,0.00,3543,3559,16.4,19,13.5
2026-04-01 13:00:00,120,26.8,0.00,3543,3559,16.2,19,13.5
2026-04-01 14:00:00,119,26.8,0.00,3543,3559,16.3,19,13.5
2026-04-01 15:00:00,117,26.7,0.00,3542,3559,16.3,19,13.5
2026-04-01 16:00:00,123,26.7,0.00,3542,3559,16.4,19,13.5
2026-04-01 17:00:00,119,26.7,0.00,3542,3559,16.6,19,13.5
2026-04-01 18:00:00,120,26.7,0.00,3542,3558,16.7,18,13.5
2026-04-01 19:00:00,120,26.7,0.00,3542,3558,16.8,19,13.5
2026-04-01 20:00:00,120,26.7,0.00,3541,3558,16.9,19,13.5
2026-04-01 21:00:00,119,26.7,0.00,3541,3558,17.2,20,13.5
2026-04-01 22:00:00,122,26.6,0.00,3541,3558,17.1,19,13.5
2026-04-01 23:00:00,120,26.6,0.00,3541,3558,17.0,19,13.5
2026-04-02 00:00:00,120,26.6,0.00,3541,3558,17.0,19,13.5
2026-04-02 01:00:00,120,26.5,0.00,3541,3558,16.9,19,13.5
2026-04-02 02:00:00,120,26.5,0.00,3541,3558,16.9,19,13.5
2026-04-02 03:00:00,120,26.5,0.00,3541,3557,16.6,18,13.5
2026-04-02 04:00:00,120,26.5,0.00,3541,3557,16.7,19,13.5
2026-04-02 05:00:00,120,26.4,0.00,3540,3557,16.6,19,13.5
2026-04-02 06:00:00,119,26.4,0.00,3540,3557,16.8,19,13.4
2026-04-02 07:00:00,120,26.3,0.00,3540,3557,16.3,18,13.4
2026-04-02 08:00:00,118,26.4,0.00,3540,3557,16.6,19,13.5
2026-04-02 09:00:00,120,26.3,0.00,3540,3557,16.4,19,13.0
2026-04-02 10:00:00,123,26.3,0.00,3540,3556,16.5,19,13.0
2026-04-02 11:00:00,120,26.3,0.00,3540,3556,16.3,19,13.0
2026-04-02 12:00:00,120,26.2,0.00,3540,3556,16.2,19,13.0
2026-04-02 13:00:00,123,26.2,0.00,3540,3556,16.1,19,13.0
2026-04-02 14:00:00,120,26.2,0.00,3540,3556,16.1,18,13.0
2026-04-02 15:00:00,120,26.2,0.00,3540,3556,16.0,19,13.0
2026-04-02 16:00:00,120,26.2,0.00,3540,3556,16.0,19,13.0
2026-04-02 17:00:00,120,26.1,0.00,3540,3556,15.9,19,13.0
2026-04-02 18:00:00,120,26.1,0.00,3540,3556,15.9,19,13.0
2026-04-02 19:00:00,120,26.1,0.00,3540,3556,16.0,19,13.0
2026-04-02 20:00:00,120,26.1,0.00,3539,3555,16.0,19,13.0
2026-04-02 21:00:00,120,26.1,0.00,3539,3555,16.0,18,13.0
2026-04-02 22:00:00,120,26.1,0.00,3539,3555,16.1,18,13.0
2026-04-02 23:00:00,120,26.0,0.00,3539,3555,16.0,18,13.1
2026-04-03 00:00:00,120,26.0,0.00,3539,3555,16.0,19,13.1
2026-04-03 01:00:00,120,26.0,0.00,3539,3555,16.1,18,13.1
2026-04-03 02:00:00,120,26.0,0.00,3539,3555,16.1,19,13.1
2026-04-03 03:00:00,119,26.0,0.00,3539,3555,16.1,18,13.2
2026-04-03 04:00:00,120,26.0,0.00,3539,3555,16.1,18,13.1
2026-04-03 05:00:00,119,26.0,0.00,3539,3555,16.1,18,13.1
2026-04-03 06:00:00,120,25.9,0.00,3539,3555,16.0,18,13.2
2026-04-03 07:00:00,120,25.9,0.00,3539,3555,16.0,19,13.2
2026-04-03 08:00:00,120,25.9,0.00,3538,3554,16.1,17,13.4
2026-04-03 09:00:00,120,25.9,0.00,3538,3555,16.3,20,13.5
2026-04-03 10:00:00,120,25.9,0.00,3538,3554,16.3,19,13.5
